query acc.ver,subject acc.ver,% identity,alignment length,mismatches,gap opens,q. start,q. end,s. start,s. end,evalue,bit score,% positives
seq_5_iron_aquisition-siderophore_transport,WP_002866477.1,99.231,390,3,0,1,390,1,390,0.0,765.0,99.49
seq_5_iron_aquisition-siderophore_transport,ETN90573.1,99.094,331,3,0,60,390,1,331,0.0,652.0,99.4
seq_5_iron_aquisition-siderophore_transport,ETN90572.1,92.5,40,3,0,1,40,1,40,1.91e-19,79.0,100.0
seq_6_iron_aquisition-siderophore_transport,WP_011049744.1,99.376,641,4,0,1,641,1,641,0.0,1276.0,99.53
seq_6_iron_aquisition-siderophore_transport,WP_002858539.1,99.376,641,4,0,1,641,1,641,0.0,1275.0,99.53
seq_6_iron_aquisition-siderophore_transport,WP_002856958.1,98.752,641,8,0,1,641,1,641,0.0,1271.0,99.22
seq_6_iron_aquisition-siderophore_transport,WP_002866478.1,98.284,641,11,0,1,641,1,641,0.0,1267.0,99.22
seq_6_iron_aquisition-siderophore_transport,ADN91790.1,47.17,212,109,1,1,212,5,213,1.36e-58,194.0,69.34
seq_6_iron_aquisition-siderophore_transport,WP_002860103.1,47.17,212,109,1,1,212,6,214,1.6400000000000002e-58,193.0,69.34
seq_6_iron_aquisition-siderophore_transport,ABV53162.1,46.698,212,110,1,1,212,5,213,6.0900000000000004e-58,192.0,68.87
seq_6_iron_aquisition-siderophore_transport,WP_079254165.1,46.698,212,110,1,1,212,6,214,6.76e-58,192.0,68.87
seq_6_iron_aquisition-siderophore_transport,WP_011050014.1,46.698,212,110,1,1,212,6,214,9.330000000000001e-58,191.0,68.87
seq_6_iron_aquisition-siderophore_transport,WP_002865902.1,37.288,236,133,5,1,224,1,233,1.5300000000000002e-36,134.0,59.32
seq_6_iron_aquisition-siderophore_transport,WP_002853259.1,36.864,236,134,5,1,224,1,233,4.7200000000000004e-36,133.0,59.32
seq_6_iron_aquisition-siderophore_transport,AAW35106.1,37.615,218,130,4,4,218,6,220,4.41e-35,130.0,58.72
seq_6_iron_aquisition-siderophore_transport,ABV52041.1,37.156,218,131,4,4,218,6,220,2.2099999999999997e-34,129.0,58.72
seq_6_iron_aquisition-siderophore_transport,AAA02918.1,36.441,236,135,5,1,224,1,233,2.49e-34,128.0,58.47
seq_6_iron_aquisition-siderophore_transport,WP_002858600.1,37.156,218,131,4,4,218,6,220,2.8999999999999998e-34,128.0,58.72
seq_6_iron_aquisition-siderophore_transport,WP_002852619.1,37.179,234,127,7,1,215,1,233,2.91e-34,131.0,59.4
seq_6_iron_aquisition-siderophore_transport,WP_002856849.1,37.179,234,127,7,1,215,1,233,2.9899999999999998e-34,130.0,59.4
seq_6_iron_aquisition-siderophore_transport,WP_002893140.1,37.179,234,127,7,1,215,1,233,3.0799999999999998e-34,130.0,59.4
seq_6_iron_aquisition-siderophore_transport,WP_002856856.1,35.808,229,143,3,1,227,1,227,2.3000000000000002e-33,125.0,58.52
seq_6_iron_aquisition-siderophore_transport,WP_011049810.1,36.123,227,141,3,1,225,1,225,3.27e-33,125.0,58.59
seq_6_iron_aquisition-siderophore_transport,WP_002877347.1,35.683,227,142,3,1,225,1,225,4.48e-33,125.0,58.59
seq_6_iron_aquisition-siderophore_transport,WP_002858785.1,35.683,227,142,3,1,225,1,225,4.98e-33,125.0,58.59
seq_6_iron_aquisition-siderophore_transport,WP_002866826.1,35.021,237,126,6,1,216,1,230,5.75e-33,128.0,53.59
seq_6_iron_aquisition-siderophore_transport,ETJ84600.1,36.986,219,118,7,16,215,1,218,4.3e-31,121.0,59.36
seq_6_iron_aquisition-siderophore_transport,WP_002853534.1,39.56,182,106,4,16,195,18,197,4.91e-30,115.0,59.89
seq_6_iron_aquisition-siderophore_transport,WP_002856386.1,39.56,182,106,4,16,195,18,197,5.1e-30,115.0,59.89
seq_6_iron_aquisition-siderophore_transport,WP_012006736.1,35.897,195,118,2,16,209,17,205,1.0500000000000001e-29,114.0,55.38
seq_6_iron_aquisition-siderophore_transport,WP_002867385.1,35.385,195,119,2,16,209,17,205,1.73e-26,105.0,56.41
seq_6_iron_aquisition-siderophore_transport,WP_002867742.1,37.624,202,108,7,24,219,25,214,2.89e-26,107.0,55.94
seq_6_iron_aquisition-siderophore_transport,WP_002854406.1,37.624,202,108,7,24,219,25,214,3.84e-26,106.0,55.94
seq_6_iron_aquisition-siderophore_transport,WP_010891917.1,35.385,195,119,2,16,209,17,205,3.9000000000000004e-26,104.0,55.9
seq_6_iron_aquisition-siderophore_transport,WP_002852807.1,35.385,195,119,2,16,209,17,205,4.5100000000000004e-26,103.0,55.9
seq_6_iron_aquisition-siderophore_transport,ETJ83153.1,32.627,236,126,6,1,235,1,204,1.25e-25,105.0,52.97
seq_6_iron_aquisition-siderophore_transport,WP_010891842.1,32.627,236,126,6,1,235,2,205,1.2599999999999999e-25,105.0,52.97
seq_6_iron_aquisition-siderophore_transport,WP_011812693.1,32.627,236,126,6,1,235,2,205,1.32e-25,105.0,52.97
seq_6_iron_aquisition-siderophore_transport,AHK51526.1,32.627,236,126,6,1,235,1,204,1.38e-25,105.0,52.97
seq_6_iron_aquisition-siderophore_transport,WP_072238660.1,33.051,236,125,6,1,235,2,205,3.4e-25,103.0,52.97
seq_6_iron_aquisition-siderophore_transport,ABV51766.1,33.051,236,125,6,1,235,1,204,3.67e-25,103.0,52.97
seq_6_iron_aquisition-siderophore_transport,WP_004308379.1,35.294,204,122,3,19,220,20,215,8.4e-25,102.0,52.94
seq_6_iron_aquisition-siderophore_transport,WP_002816233.1,35.294,204,122,3,19,220,20,215,1.84e-24,101.0,52.94
seq_6_iron_aquisition-siderophore_transport,WP_002851414.1,35.644,202,116,6,5,198,6,201,1.1799999999999999e-23,97.8,52.97
seq_6_iron_aquisition-siderophore_transport,WP_002776579.1,32.727,220,134,4,4,218,6,216,1.79e-23,99.8,57.73
seq_6_iron_aquisition-siderophore_transport,WP_002868882.1,35.644,202,116,6,5,198,6,201,2.07e-23,97.4,52.97
seq_6_iron_aquisition-siderophore_transport,WP_002860093.1,35.644,202,116,6,5,198,6,201,2.9199999999999997e-23,97.1,52.48
seq_6_iron_aquisition-siderophore_transport,WP_002866848.1,35.149,202,117,6,5,198,6,201,4.4e-23,96.3,52.97
seq_6_iron_aquisition-siderophore_transport,WP_002831397.1,32.273,220,135,4,4,218,6,216,5.66e-23,98.2,57.27
seq_6_iron_aquisition-siderophore_transport,WP_002793288.1,32.273,220,135,4,4,218,6,216,4.9e-22,95.5,57.27
seq_6_iron_aquisition-siderophore_transport,WP_002877063.1,31.308,214,123,6,12,214,360,560,4.46e-21,95.1,55.61
seq_6_iron_aquisition-siderophore_transport,WP_002852830.1,30.841,214,124,6,12,214,364,564,7.290000000000001e-21,94.4,55.14
seq_6_iron_aquisition-siderophore_transport,WP_002869380.1,30.841,214,124,6,12,214,360,560,7.650000000000001e-21,94.4,55.61
seq_6_iron_aquisition-siderophore_transport,WP_002858308.1,30.841,214,124,6,12,214,360,560,7.930000000000001e-21,94.4,55.14
seq_6_iron_aquisition-siderophore_transport,AAW34617.1,32.864,213,129,4,11,218,1,204,1.04e-20,91.3,57.28
seq_6_iron_aquisition-siderophore_transport,WP_002867213.1,30.435,207,134,5,12,214,360,560,5.38e-20,91.7,56.52
seq_6_iron_aquisition-siderophore_transport,WP_002867308.1,30.396,227,148,5,1,222,1,222,1.27e-19,86.7,51.54
seq_6_iron_aquisition-siderophore_transport,WP_002866772.1,31.14,228,145,5,1,222,1,222,1.32e-19,86.7,50.88
seq_6_iron_aquisition-siderophore_transport,WP_002856278.1,31.14,228,145,5,1,222,1,222,1.74e-19,86.3,50.44
seq_6_iron_aquisition-siderophore_transport,WP_014516904.1,30.263,228,121,8,16,228,18,222,2.24e-19,86.7,52.63
seq_6_iron_aquisition-siderophore_transport,WP_002858409.1,29.956,227,149,5,1,222,1,222,3.54e-19,85.1,51.1
seq_6_iron_aquisition-siderophore_transport,WP_002866752.1,30.131,229,120,8,16,228,18,222,3.9e-19,85.9,52.84
seq_6_iron_aquisition-siderophore_transport,WP_010891839.1,31.004,229,118,9,16,228,18,222,1.15e-18,84.3,53.71
seq_6_iron_aquisition-siderophore_transport,WP_002872129.1,30.568,229,119,9,16,228,18,222,1.65e-18,84.0,53.71
seq_6_iron_aquisition-siderophore_transport,WP_009881802.1,30.568,229,119,9,16,228,18,222,3.46e-18,83.2,53.28
seq_6_iron_aquisition-siderophore_transport,WP_002776307.1,32.338,201,124,6,12,206,13,207,5.11e-18,81.6,52.74
seq_6_iron_aquisition-siderophore_transport,WP_010891867.1,31.527,203,127,6,12,208,13,209,1.96e-17,80.1,52.71
seq_6_iron_aquisition-siderophore_transport,WP_002853599.1,29.185,233,145,4,4,219,5,234,8.44e-17,78.2,46.78
seq_6_iron_aquisition-siderophore_transport,WP_002869430.1,29.185,233,145,4,4,219,5,234,8.85e-17,78.2,47.21
seq_6_iron_aquisition-siderophore_transport,WP_011049869.1,29.185,233,145,4,4,219,5,234,1.1e-16,78.2,46.78
seq_6_iron_aquisition-siderophore_transport,WP_002851136.1,28.444,225,142,6,1,214,1,217,1.26e-16,77.8,52.44
seq_6_iron_aquisition-siderophore_transport,WP_002856079.1,29.524,210,129,6,16,214,16,217,1.77e-16,77.4,53.33
seq_6_iron_aquisition-siderophore_transport,WP_002866594.1,29.524,210,129,6,16,214,16,217,1.77e-16,77.4,53.33
seq_6_iron_aquisition-siderophore_transport,WP_002860769.1,27.119,236,145,5,4,222,333,558,2.67e-16,80.1,50.0
seq_6_iron_aquisition-siderophore_transport,WP_002858782.1,27.119,236,145,5,4,222,333,558,3.18e-16,79.7,50.0
seq_6_iron_aquisition-siderophore_transport,AAW34561.1,28.283,198,138,2,20,216,25,219,3.97e-16,76.3,53.03
seq_6_iron_aquisition-siderophore_transport,WP_002855252.1,28.283,198,138,2,20,216,22,216,4.39e-16,75.9,53.03
seq_6_iron_aquisition-siderophore_transport,AHK56919.1,28.283,198,138,2,20,216,30,224,5.02e-16,75.9,53.03
seq_6_iron_aquisition-siderophore_transport,WP_002886581.1,29.048,210,130,6,16,214,16,217,7.22e-16,75.5,52.86
seq_6_iron_aquisition-siderophore_transport,WP_002852992.1,28.755,233,146,4,4,219,5,234,9.01e-16,75.5,46.35
seq_6_iron_aquisition-siderophore_transport,AAW56184.1,36.719,128,65,5,95,217,1,117,1.93e-13,65.1,56.25
seq_6_iron_aquisition-siderophore_transport,EAQ72193.2,28.5,200,129,4,1,196,2,191,5.37e-12,63.5,49.0
seq_6_iron_aquisition-siderophore_transport,WP_002852965.1,28.5,200,129,4,1,196,1,190,5.7e-12,63.5,49.0
seq_6_iron_aquisition-siderophore_transport,WP_002869429.1,28.5,200,129,4,1,196,1,190,6.32e-12,63.5,49.0
seq_6_iron_aquisition-siderophore_transport,ETJ81816.1,33.333,99,60,1,4,102,6,98,1.21e-11,59.7,56.57
seq_6_iron_aquisition-siderophore_transport,WP_012006789.1,28.311,219,143,8,1,215,1,209,5.13e-11,62.0,51.6
seq_6_iron_aquisition-siderophore_transport,ETJ82550.1,31.527,203,108,8,1,196,1,179,5.35e-11,62.0,50.74
seq_6_iron_aquisition-siderophore_transport,WP_002868367.1,25.909,220,147,7,1,215,1,209,7.34e-11,61.6,50.0
seq_6_iron_aquisition-siderophore_transport,WP_002856890.1,31.683,202,109,7,1,196,330,508,9.46e-11,62.4,49.5
seq_6_iron_aquisition-siderophore_transport,WP_002856890.1,24.468,282,148,10,1,239,3,262,8.51e-07,49.7,42.91
seq_6_iron_aquisition-siderophore_transport,WP_002867877.1,25.909,220,147,7,1,215,1,209,9.71e-11,61.2,50.0
seq_6_iron_aquisition-siderophore_transport,WP_002796878.1,24.336,226,125,6,1,196,1,210,3.56e-08,53.9,43.81
seq_6_iron_aquisition-siderophore_transport,WP_002796878.1,25.592,211,129,7,9,214,322,509,9.14e-08,52.8,46.45
seq_6_iron_aquisition-siderophore_transport,WP_002866019.1,24.336,226,125,6,1,196,1,210,6.09e-08,53.1,43.81
seq_6_iron_aquisition-siderophore_transport,WP_002866019.1,25.592,211,129,8,9,214,322,509,1.24e-07,52.0,47.87
seq_6_iron_aquisition-siderophore_transport,WP_002858735.1,26.066,211,128,8,9,214,322,509,6.99e-08,53.1,47.87
seq_6_iron_aquisition-siderophore_transport,WP_002858735.1,24.336,226,125,6,1,196,1,210,1.22e-07,52.4,43.36
seq_6_iron_aquisition-siderophore_transport,WP_011049804.1,30.108,186,102,6,16,196,346,508,2.26e-07,51.6,48.39
seq_6_iron_aquisition-siderophore_transport,WP_011049804.1,23.913,276,141,10,9,239,11,262,2.93e-07,51.2,44.57
seq_6_iron_aquisition-siderophore_transport,ETJ82665.1,24.38,242,129,7,9,214,11,234,3.54e-07,50.1,41.74
seq_6_iron_aquisition-siderophore_transport,WP_002852425.1,29.57,186,103,6,16,196,346,508,1.06e-06,49.3,47.85
seq_6_iron_aquisition-siderophore_transport,WP_002852425.1,23.592,284,148,10,1,239,3,262,1.1e-06,49.3,44.01
seq_6_iron_aquisition-siderophore_transport,WP_002865923.1,24.176,273,144,9,9,239,11,262,1.1e-06,49.3,42.49
seq_6_iron_aquisition-siderophore_transport,WP_002865923.1,29.412,187,102,7,16,196,346,508,2.23e-06,48.1,49.2
seq_6_iron_aquisition-siderophore_transport,ETJ81817.1,35.922,103,58,3,121,218,1,100,2.29e-06,46.6,63.11
seq_6_iron_aquisition-siderophore_transport,AAX99097.1,33.871,62,41,0,1,62,1,62,1.36e-05,42.4,58.06
seq_6_iron_aquisition-siderophore_transport,WP_002867790.1,35.484,62,31,1,4,56,29,90,0.005,37.7,54.84
seq_6_iron_aquisition-siderophore_transport,WP_002865879.1,35.484,62,31,1,4,56,29,90,0.005,37.4,54.84
seq_6_iron_aquisition-siderophore_transport,WP_002858743.1,35.484,62,31,1,4,56,29,90,0.008,37.0,54.84
seq_6_iron_aquisition-siderophore_transport,AAW35050.1,47.5,40,21,0,17,56,11,50,0.009,36.6,65.0
seq_7_iron_storage,WP_002852256.1,99.401,167,1,0,1,167,1,167,2.9200000000000003e-123,342.0,100.0
seq_8_iron_storage,WP_002851546.1,100.0,149,0,0,1,149,1,149,1.33e-110,308.0,100.0
seq_8_iron_storage,WP_002867076.1,99.329,149,1,0,1,149,1,149,1.6200000000000001e-109,305.0,99.33
seq_8_iron_storage,3KWO_A,97.279,147,4,0,2,148,5,151,6.76e-105,294.0,97.28
seq_9_iron_aquisition-siderophore_synthesis,WP_002867588.1,99.548,221,1,0,1,221,1,221,2.6000000000000003e-161,442.0,100.0
seq_9_iron_aquisition-siderophore_synthesis,WP_002876088.1,97.285,221,6,0,1,221,1,221,1.31e-158,435.0,100.0
seq_9_iron_aquisition-siderophore_synthesis,WP_002851151.1,97.285,221,6,0,1,221,1,221,5.94e-158,434.0,99.1
seq_9_iron_aquisition-siderophore_synthesis,WP_002922489.1,96.833,221,7,0,1,221,1,221,8.45e-157,431.0,98.64
seq_9_iron_aquisition-siderophore_synthesis,WP_002865902.1,33.175,211,121,4,1,207,1,195,4.58e-25,96.3,49.29
seq_9_iron_aquisition-siderophore_synthesis,WP_002853259.1,33.175,211,121,4,1,207,1,195,6.97e-25,95.9,49.29
seq_9_iron_aquisition-siderophore_synthesis,WP_079254165.1,34.343,198,119,7,27,221,22,211,2.4399999999999999e-23,91.3,53.54
seq_9_iron_aquisition-siderophore_synthesis,AAA02918.1,34.597,211,118,6,1,207,1,195,2.98e-23,91.7,49.76
seq_9_iron_aquisition-siderophore_synthesis,ABV53162.1,34.343,198,119,7,27,221,21,210,3.0499999999999997e-23,90.9,53.54
seq_9_iron_aquisition-siderophore_synthesis,WP_002860103.1,34.343,198,119,7,27,221,22,211,4.1699999999999994e-23,90.5,53.54
seq_9_iron_aquisition-siderophore_synthesis,ADN91790.1,34.343,198,119,7,27,221,21,210,4.4e-23,90.5,53.54
seq_9_iron_aquisition-siderophore_synthesis,WP_011050014.1,34.343,198,119,7,27,221,22,211,4.78e-23,90.5,53.54
seq_9_iron_aquisition-siderophore_synthesis,WP_002852619.1,31.381,239,134,5,1,221,1,227,1.61e-22,91.3,48.12
seq_9_iron_aquisition-siderophore_synthesis,WP_002893140.1,31.381,239,134,5,1,221,1,227,2.14e-22,90.9,48.12
seq_9_iron_aquisition-siderophore_synthesis,WP_002856849.1,31.381,239,134,5,1,221,1,227,2.42e-22,90.9,48.12
seq_9_iron_aquisition-siderophore_synthesis,AAW35106.1,29.524,210,130,7,1,207,3,197,1.1100000000000001e-21,87.4,53.81
seq_9_iron_aquisition-siderophore_synthesis,ABV52041.1,29.524,210,130,7,1,207,3,197,2.17e-21,86.7,53.33
seq_9_iron_aquisition-siderophore_synthesis,WP_010891917.1,32.292,192,110,4,26,210,17,195,2.5300000000000003e-21,85.9,52.08
seq_9_iron_aquisition-siderophore_synthesis,WP_002867385.1,32.796,186,117,4,26,210,17,195,3.0900000000000003e-21,85.5,53.23
seq_9_iron_aquisition-siderophore_synthesis,WP_002858600.1,29.524,210,130,7,1,207,3,197,3.6200000000000004e-21,86.3,53.33
seq_9_iron_aquisition-siderophore_synthesis,WP_002877347.1,28.696,230,106,7,1,207,1,195,1.1e-20,84.7,46.96
seq_9_iron_aquisition-siderophore_synthesis,WP_002869380.1,30.417,240,119,8,2,220,349,561,1.16e-20,87.4,50.0
seq_9_iron_aquisition-siderophore_synthesis,WP_002852830.1,30.0,240,120,8,2,220,353,565,1.5e-20,87.0,49.58
seq_9_iron_aquisition-siderophore_synthesis,WP_002852807.1,32.258,186,118,4,26,210,17,195,1.57e-20,83.6,53.23
seq_9_iron_aquisition-siderophore_synthesis,WP_002858308.1,30.0,240,120,8,2,220,349,561,1.9e-20,86.7,49.58
seq_9_iron_aquisition-siderophore_synthesis,WP_011049810.1,29.13,230,105,7,1,207,1,195,2.88e-20,83.6,46.96
seq_9_iron_aquisition-siderophore_synthesis,WP_002858785.1,28.696,230,106,7,1,207,1,195,3.89e-20,83.2,46.96
seq_9_iron_aquisition-siderophore_synthesis,WP_002856856.1,28.696,230,106,7,1,207,1,195,4.4e-20,83.2,46.96
seq_9_iron_aquisition-siderophore_synthesis,ETJ84600.1,32.243,214,125,4,26,221,1,212,4.74e-20,84.3,48.6
seq_9_iron_aquisition-siderophore_synthesis,WP_002877063.1,29.167,240,122,8,2,220,349,561,3.34e-19,83.2,50.0
seq_9_iron_aquisition-siderophore_synthesis,WP_002866826.1,30.804,224,121,7,1,206,1,208,7.2e-19,81.6,50.0
seq_9_iron_aquisition-siderophore_synthesis,WP_002867213.1,29.832,238,123,6,2,220,349,561,7.65e-19,82.0,48.74
seq_9_iron_aquisition-siderophore_synthesis,WP_002867742.1,32.836,201,109,7,30,221,21,204,7.66e-17,75.1,48.76
seq_9_iron_aquisition-siderophore_synthesis,WP_002854406.1,32.836,201,109,7,30,221,21,204,8.06e-17,75.1,48.76
seq_9_iron_aquisition-siderophore_synthesis,WP_002816233.1,32.967,182,110,5,42,221,33,204,2.23e-16,73.9,48.35
seq_9_iron_aquisition-siderophore_synthesis,WP_004308379.1,32.967,182,110,5,42,221,33,204,3.16e-16,73.6,48.35
seq_9_iron_aquisition-siderophore_synthesis,WP_002856079.1,33.04,227,127,7,1,219,1,210,5.39e-16,72.4,48.46
seq_9_iron_aquisition-siderophore_synthesis,WP_002886581.1,32.599,227,128,7,1,219,1,210,6.86e-16,72.0,48.02
seq_9_iron_aquisition-siderophore_synthesis,WP_002866594.1,33.04,227,127,7,1,219,1,210,7.14e-16,72.0,48.46
seq_9_iron_aquisition-siderophore_synthesis,WP_002851136.1,33.04,227,127,7,1,219,1,210,4.57e-15,69.7,47.58
seq_9_iron_aquisition-siderophore_synthesis,WP_002856386.1,28.108,185,130,3,24,207,16,198,3.87e-14,66.6,51.35
seq_9_iron_aquisition-siderophore_synthesis,WP_002853534.1,28.108,185,130,3,24,207,16,198,3.91e-14,66.6,51.35
seq_9_iron_aquisition-siderophore_synthesis,WP_002776307.1,29.63,216,124,7,1,206,2,199,2.21e-13,65.1,45.37
seq_9_iron_aquisition-siderophore_synthesis,WP_002831397.1,30.319,188,119,4,25,209,17,195,2.43e-13,65.5,54.26
seq_9_iron_aquisition-siderophore_synthesis,ETJ82665.1,27.65,217,125,5,25,217,17,225,2.64e-13,65.5,44.7
seq_9_iron_aquisition-siderophore_synthesis,WP_002866752.1,28.856,201,123,5,22,217,14,199,3.44e-13,64.7,47.76
seq_9_iron_aquisition-siderophore_synthesis,AAW34561.1,29.508,183,94,5,29,195,24,187,3.49e-13,64.3,46.99
seq_9_iron_aquisition-siderophore_synthesis,WP_014516904.1,28.856,201,123,5,22,217,14,199,3.68e-13,64.7,47.76
seq_9_iron_aquisition-siderophore_synthesis,WP_002855252.1,29.508,183,94,5,29,195,21,184,3.73e-13,64.3,46.99
seq_9_iron_aquisition-siderophore_synthesis,WP_002776579.1,29.787,188,120,4,25,209,17,195,3.86e-13,65.1,54.26
seq_9_iron_aquisition-siderophore_synthesis,AHK56919.1,29.508,183,94,5,29,195,29,192,4.1e-13,64.3,46.99
seq_9_iron_aquisition-siderophore_synthesis,WP_002793288.1,29.787,188,120,4,25,209,17,195,4.25e-13,64.7,54.79
seq_9_iron_aquisition-siderophore_synthesis,WP_002852425.1,28.638,213,128,6,25,217,17,225,4.36e-13,65.5,48.36
seq_9_iron_aquisition-siderophore_synthesis,WP_002852425.1,22.951,183,118,4,26,206,346,507,2.56e-06,45.1,46.45
seq_9_iron_aquisition-siderophore_synthesis,WP_010891839.1,28.856,201,123,5,22,217,14,199,4.47e-13,64.3,47.76
seq_9_iron_aquisition-siderophore_synthesis,WP_002865923.1,27.65,217,125,5,25,217,17,225,4.57e-13,65.5,44.7
seq_9_iron_aquisition-siderophore_synthesis,WP_002865923.1,22.951,183,118,4,26,206,346,507,5.73e-06,44.3,46.45
seq_9_iron_aquisition-siderophore_synthesis,WP_011049804.1,28.638,213,128,6,25,217,17,225,5.02e-13,65.1,48.36
seq_9_iron_aquisition-siderophore_synthesis,WP_011049804.1,22.951,183,118,4,26,206,346,507,1.63e-06,45.8,46.99
seq_9_iron_aquisition-siderophore_synthesis,WP_002856890.1,27.65,217,125,5,25,217,17,225,6.79e-13,64.7,44.7
seq_9_iron_aquisition-siderophore_synthesis,WP_002856890.1,22.951,183,118,4,26,206,346,507,3.37e-06,44.7,46.45
seq_9_iron_aquisition-siderophore_synthesis,WP_010891867.1,29.167,216,125,7,1,206,2,199,1.05e-12,63.2,45.37
seq_9_iron_aquisition-siderophore_synthesis,WP_002872129.1,29.293,198,120,5,25,217,17,199,1.29e-12,63.2,47.98
seq_9_iron_aquisition-siderophore_synthesis,WP_002867308.1,27.57,214,127,7,1,206,1,194,3.07e-12,61.6,49.53
seq_9_iron_aquisition-siderophore_synthesis,WP_002858409.1,27.103,214,128,7,1,206,1,194,7.48e-12,60.8,49.07
seq_9_iron_aquisition-siderophore_synthesis,WP_009881802.1,28.283,198,122,5,25,217,17,199,8.16e-12,60.8,47.47
seq_9_iron_aquisition-siderophore_synthesis,WP_002856278.1,26.291,213,131,6,1,206,1,194,3.75e-11,58.5,47.42
seq_9_iron_aquisition-siderophore_synthesis,AAW56184.1,40.26,77,46,0,145,221,33,109,4.04e-11,56.2,55.84
seq_9_iron_aquisition-siderophore_synthesis,WP_010891842.1,30.601,183,99,5,28,206,19,177,4.07e-11,58.9,46.99
seq_9_iron_aquisition-siderophore_synthesis,AHK51526.1,30.601,183,99,5,28,206,18,176,4.13e-11,58.9,46.99
seq_9_iron_aquisition-siderophore_synthesis,WP_072238660.1,30.601,183,99,5,28,206,19,177,4.48e-11,58.9,46.99
seq_9_iron_aquisition-siderophore_synthesis,ABV51766.1,30.601,183,99,5,28,206,18,176,4.95e-11,58.5,46.99
seq_9_iron_aquisition-siderophore_synthesis,WP_002866772.1,26.291,213,131,6,1,206,1,194,1.18e-10,57.4,47.42
seq_9_iron_aquisition-siderophore_synthesis,ETJ83153.1,30.055,183,100,5,28,206,18,176,1.29e-10,57.4,46.99
seq_9_iron_aquisition-siderophore_synthesis,WP_011812693.1,30.055,183,100,5,28,206,19,177,1.43e-10,57.4,46.99
seq_9_iron_aquisition-siderophore_synthesis,WP_002858782.1,26.344,186,125,6,26,207,355,532,2.98e-09,53.9,48.39
seq_9_iron_aquisition-siderophore_synthesis,WP_002860769.1,26.344,186,125,6,26,207,355,532,2.98e-09,53.9,48.39
